Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
16.0,-P4,P5,P8
32.0,P4,M2,M6
48.0,P4,P8,P5
64.0,Rest,Rest,P5
80.0,M6,M6,P1
96.0,P5,P5,P1
112.0,P5,Rest,Rest
128.0,M7,Rest,Rest
144.0,P8,P4,-P5
160.0,Rest,P1,Rest
176.0,P5,m3,-M3
192.0,P5,P5,P1
208.0,M6,Rest,Rest
224.0,P8,Rest,Rest
240.0,P8,P4,-P5
256.0,A4,M7,-P5
272.0,Rest,M6,Rest
288.0,P4,P8,P5
304.0,Rest,Rest,P5
320.0,P4,P8,P5
336.0,P5,P8,P4
352.0,P8,Rest,Rest
368.0,P5,Rest,Rest
384.0,m3,P5,M3
400.0,Rest,P5,Rest
416.0,m3,P5,M3
432.0,P4,P8,P5
448.0,P5,Rest,Rest
464.0,P5,Rest,Rest
480.0,P8,P8,P1
496.0,P5,P5,P1
512.0,Rest,P5,Rest
528.0,P5,M3,-m3
544.0,Rest,Rest,P1
560.0,M2,P5,-P5
576.0,M3,M6,-P5
592.0,M6,Rest,Rest
608.0,Rest,Rest,Rest
624.0,P1,P5,P5
640.0,Rest,P8,Rest
656.0,m3,P8,M6
672.0,P1,P8,P8
688.0,-m3,Rest,Rest
704.0,P1,Rest,Rest
720.0,m3,P5,M3
736.0,m3,P5,M3
752.0,Rest,P8,Rest
768.0,P5,P5,P1
784.0,Rest,Rest,m3
800.0,P5,M2,P5
816.0,P4,P8,P5
832.0,M2,Rest,Rest
848.0,-M3,Rest,Rest
864.0,P4,P8,P5
880.0,Rest,P8,Rest
896.0,P5,M3,M6
912.0,P5,P5,P8
928.0,P5,Rest,Rest
944.0,P5,Rest,Rest
960.0,P4,P8,P5
976.0,Rest,Rest,P1
992.0,Rest,P5,Rest
1008.0,m6,m2,-P5
1024.0,P4,P4,P1
1040.0,M3,Rest,Rest
1056.0,Rest,Rest,M3
1072.0,Rest,P4,Rest
1088.0,-P4,P4,m7
1104.0,-P4,P5,P8
1120.0,-P4,Rest,Rest
1136.0,P1,P5,P5
1152.0,Rest,P5,Rest
1168.0,-P5,M2,M6
1184.0,P5,M2,P5
1200.0,P4,Rest,Rest
1216.0,P5,P8,P4
1232.0,Rest,Rest,P1
1248.0,M3,P5,m3
1264.0,P4,m7,P4
1280.0,P4,Rest,Rest
