Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P4,Rest,P8,Rest,P5,Rest
36.0,M3,M3,Rest,P8,Rest,Rest
72.0,P4,M6,P4,M3,P1,-M3
108.0,P4,P8,P4,P5,P1,-P5
144.0,M3,M3,M6,P8,P4,-P5
180.0,m3,Rest,P5,Rest,M3,Rest
216.0,P4,P8,Rest,P5,Rest,Rest
252.0,P4,P8,M6,P5,M3,-m3
288.0,M6,M3,M3,P5,P5,P1
324.0,P5,P5,P8,P8,P4,-P5
360.0,P4,Rest,P8,Rest,P5,Rest
396.0,P4,P8,Rest,P5,Rest,Rest
432.0,M6,P8,M3,m3,P5,M3
468.0,P8,M3,P5,M3,P5,m3
504.0,P4,P8,P8,P5,P5,P1
540.0,P1,Rest,P8,Rest,P8,Rest
576.0,P4,P8,Rest,P5,Rest,Rest
612.0,P5,P8,P5,P4,P8,P5
648.0,m3,P5,P5,M3,M3,P8
684.0,P1,P4,P8,P4,P8,P5
720.0,M6,Rest,M3,Rest,P5,Rest
756.0,P4,P8,Rest,P5,Rest,Rest
792.0,M3,M6,M3,P4,P8,P5
828.0,M6,P8,M3,m3,P5,M3
864.0,P4,M6,M6,M3,M3,P1
900.0,P4,Rest,P8,Rest,P5,Rest
936.0,P4,P8,Rest,P5,Rest,Rest
972.0,P1,P8,P4,P8,P4,-P5
1008.0,P4,P8,M6,P5,M3,-m3
1044.0,P4,P8,P8,P5,P5,P1
1080.0,Rest,Rest,Rest,M6,Rest,Rest
1116.0,Rest,Rest,P8,Rest,Rest,Rest
1152.0,d5,m3,P8,M6,A4,-m3
1188.0,Rest,Rest,Rest,P5,Rest,Rest
1224.0,Rest,Rest,P5,Rest,Rest,Rest
1260.0,P1,P8,P4,P8,P4,-P5
1296.0,Rest,Rest,Rest,P5,Rest,Rest
1332.0,Rest,Rest,M3,Rest,Rest,Rest
1368.0,P1,P8,P4,P8,P4,-P5
1404.0,Rest,Rest,Rest,P5,Rest,Rest
1440.0,Rest,Rest,P8,Rest,Rest,Rest
1476.0,P4,P8,P8,P5,P5,P1
1512.0,Rest,Rest,Rest,P5,Rest,Rest
1548.0,Rest,Rest,P8,Rest,Rest,Rest
1584.0,m3,P5,P5,M3,M3,P8
1620.0,Rest,Rest,Rest,P5,Rest,Rest
1656.0,Rest,Rest,P8,Rest,Rest,Rest
1692.0,P4,P4,P8,P1,P5,P5
1728.0,Rest,Rest,Rest,P5,Rest,Rest
1764.0,Rest,Rest,P8,Rest,Rest,Rest
1800.0,m6,m3,P8,P5,M3,-m3
1836.0,P4,P8,Rest,P5,Rest,Rest
1872.0,P4,P8,P8,P5,P5,P1
