Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P8,Rest,Rest
36.0,P8,Rest,Rest
72.0,P5,P5,P1
108.0,P5,P5,P1
144.0,m6,P4,-m3
180.0,-P5,Rest,Rest
216.0,m3,Rest,Rest
252.0,P1,P5,P5
288.0,m3,P5,M3
324.0,P4,P8,P5
360.0,P5,Rest,Rest
396.0,P5,Rest,Rest
432.0,P1,P8,P8
468.0,P4,P8,P5
504.0,P4,M6,M3
540.0,P8,Rest,Rest
576.0,-P8,Rest,Rest
612.0,P4,P8,P5
648.0,P4,P8,P5
684.0,-P4,M3,M6
720.0,-P5,Rest,Rest
756.0,P5,Rest,Rest
792.0,P1,P5,P5
828.0,-P4,P5,P8
864.0,P4,P8,P5
900.0,-P5,Rest,Rest
936.0,Rest,Rest,Rest
972.0,-m3,P5,m7
1008.0,P4,P8,P5
1044.0,P5,M3,M6
1080.0,P5,Rest,Rest
1116.0,P5,Rest,Rest
1152.0,P4,P8,P5
1188.0,P4,P8,P5
1224.0,M3,P5,m3
1260.0,Rest,Rest,Rest
1296.0,Rest,Rest,Rest
1332.0,Rest,Rest,M3
1368.0,Rest,M3,Rest
1404.0,-P4,P5,P8
1440.0,Rest,Rest,Rest
1476.0,Rest,Rest,Rest
1512.0,Rest,Rest,M3
1548.0,Rest,P5,Rest
1584.0,P4,m7,P4
1620.0,P4,P8,P5
