Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
36.0,Rest,Rest,Rest
72.0,P8,Rest,Rest
108.0,M6,Rest,Rest
144.0,P4,P8,P5
180.0,P4,M6,M3
216.0,-P4,P5,P8
252.0,m3,P5,M3
288.0,M3,P5,m3
324.0,Rest,Rest,P1
360.0,m3,P5,M3
396.0,P5,Rest,Rest
432.0,P1,P5,P5
468.0,m3,P5,M3
504.0,-P4,P5,P8
540.0,-P4,P5,P8
576.0,-m3,M3,P5
612.0,Rest,Rest,P5
648.0,m3,P5,M3
684.0,P5,Rest,Rest
720.0,P8,P8,P1
756.0,P4,m7,P4
792.0,M3,M3,P8
828.0,P1,P8,P8
864.0,P1,P8,P8
900.0,Rest,Rest,P5
936.0,-P4,P5,P8
972.0,P5,Rest,Rest
1008.0,m3,P5,M3
1044.0,P4,P8,P5
1080.0,Rest,P8,Rest
1116.0,P5,M3,-m3
1152.0,-m3,M3,P5
1188.0,M3,P5,m3
1224.0,Rest,P5,Rest
1260.0,P4,P8,P5
1296.0,-P4,P5,P8
1332.0,M3,M3,P8
1368.0,M6,M3,P5
1404.0,P4,P8,P5
