Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P1,P1,P1
24.0,m3,P5,M3
48.0,-M3,P8,M3
72.0,-P4,P5,P8
96.0,-P5,Rest,Rest
120.0,P1,Rest,Rest
144.0,M3,P5,m3
168.0,Rest,Rest,M3
192.0,P4,P8,P5
216.0,M3,M3,P8
240.0,M3,Rest,Rest
264.0,P5,Rest,Rest
288.0,P4,P8,P5
312.0,Rest,P5,Rest
336.0,Rest,Rest,M3
360.0,P4,P8,P5
384.0,P5,Rest,Rest
408.0,P1,Rest,Rest
432.0,m3,P8,M6
456.0,Rest,Rest,P8
480.0,M6,M3,P5
504.0,M3,P5,m3
528.0,P5,Rest,Rest
552.0,P8,Rest,Rest
576.0,P8,M3,M3
600.0,Rest,M6,Rest
624.0,Rest,Rest,M3
648.0,M6,M3,P5
672.0,P5,Rest,Rest
696.0,-P8,Rest,Rest
720.0,P1,M3,M3
744.0,Rest,Rest,P5
768.0,P5,P5,P8
792.0,M6,M3,P5
816.0,P5,Rest,Rest
840.0,P8,Rest,Rest
864.0,P8,P8,P1
888.0,Rest,P5,Rest
912.0,Rest,Rest,M6
936.0,-P4,P5,P8
960.0,-P5,Rest,Rest
984.0,-P5,Rest,Rest
1008.0,-P4,P5,P8
1032.0,Rest,Rest,P5
1056.0,-P4,P5,P8
1080.0,-P4,P5,P8
1104.0,-P5,Rest,Rest
1128.0,-m3,Rest,Rest
1152.0,-P4,P5,P8
1176.0,Rest,M6,Rest
1200.0,Rest,Rest,P5
1224.0,-M3,P8,M3
1248.0,-M6,Rest,Rest
1272.0,-P5,Rest,Rest
1296.0,-P4,P5,P8
1320.0,Rest,Rest,M6
1344.0,M3,M3,P8
1368.0,m3,P5,M3
1392.0,m3,P5,M3
1416.0,P4,P8,P5
