Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P1,P1,P1
36.0,-m3,M3,P5
72.0,-P4,P5,P8
108.0,-m3,Rest,Rest
144.0,M3,P5,m3
180.0,P1,d5,d5
216.0,M3,M3,P8
252.0,P8,Rest,Rest
288.0,P4,P8,P5
324.0,M3,P5,m3
360.0,m2,m6,P5
396.0,P4,Rest,Rest
432.0,m3,P8,M6
468.0,M3,M3,P8
504.0,M3,P5,m3
540.0,P5,Rest,Rest
576.0,P8,M3,M3
612.0,-P4,P5,P8
648.0,M6,M3,P5
684.0,-P5,Rest,Rest
720.0,-M3,P8,M3
756.0,m3,P5,M3
792.0,M6,M3,P5
828.0,M6,Rest,Rest
864.0,P8,P8,P1
900.0,P1,P5,P5
936.0,-P4,P5,P8
972.0,-P8,Rest,Rest
1008.0,-P4,P5,P8
1044.0,-P4,P5,P8
1080.0,-P4,P5,P8
1116.0,-m3,Rest,Rest
1152.0,-P4,P5,P8
1188.0,-P5,P5,M2
1224.0,-M3,P8,M3
1260.0,-P8,Rest,Rest
1296.0,-P4,P5,P8
1332.0,P5,M3,M6
1368.0,m3,P5,M3
1404.0,P4,P8,P5
