Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
54.0,P4,P8,P5
108.0,-P5,Rest,Rest
162.0,m3,P5,M3
216.0,-P4,P5,P8
270.0,Rest,Rest,P5
324.0,Rest,P8,Rest
378.0,m3,Rest,Rest
432.0,-P4,P5,P8
486.0,P1,P5,P5
540.0,P5,P5,P1
594.0,-m3,Rest,Rest
648.0,P1,P5,P5
702.0,P1,M3,M3
756.0,Rest,Rest,P5
810.0,Rest,P5,Rest
864.0,P1,Rest,Rest
918.0,P4,P8,P5
972.0,P4,P8,P5
1026.0,m3,P8,M6
1080.0,P1,Rest,Rest
1134.0,P4,P8,P5
1188.0,P1,P5,P5
1242.0,Rest,Rest,P1
1296.0,Rest,P8,Rest
1350.0,P1,Rest,Rest
1404.0,P4,P8,P5
1458.0,P1,P8,P8
1512.0,P1,M3,M3
1566.0,-P8,Rest,Rest
1620.0,P4,P8,P5
1674.0,-P4,P5,P8
1728.0,Rest,Rest,P5
1782.0,Rest,P1,Rest
1836.0,P1,Rest,Rest
1890.0,P4,P8,P5
