Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P4,P4,P8,P1,P5,P5
36.0,-P5,P8,P1,P5,P5,-P8
72.0,-m3,Rest,M3,Rest,P5,Rest
108.0,-M3,P4,P8,M6,M3,P5
144.0,P5,P5,Rest,P8,Rest,Rest
180.0,-P5,P1,-m3,P5,M3,-m3
216.0,P4,P8,P8,P5,P5,P1
252.0,-P4,P5,P5,P8,P8,P1
288.0,m3,Rest,m3,Rest,P8,Rest
324.0,P4,P4,P8,P1,P5,P5
360.0,-M3,P8,Rest,M3,Rest,Rest
396.0,-m3,M3,M3,P5,P5,-P8
432.0,-M3,P8,m3,M3,P5,-M6
468.0,-P4,P5,P5,P8,P8,P1
504.0,P4,Rest,M6,Rest,M3,Rest
540.0,-M6,P5,P5,M3,M3,P1
576.0,m3,P5,Rest,M3,Rest,Rest
612.0,-M6,m3,P5,P8,M3,M3
648.0,-P5,m3,P1,m7,P5,-m3
684.0,P4,M6,P8,M3,P5,m3
720.0,-P5,Rest,M6,Rest,M3,Rest
756.0,-M6,m3,P5,P8,M3,M3
792.0,-m3,M3,Rest,P5,Rest,Rest
828.0,-P4,P5,P5,P8,P8,P1
864.0,-M3,P4,P8,M6,M3,P5
900.0,-M3,P8,P1,M3,M3,-P8
936.0,-M3,P4,P8,M6,M3,P5
972.0,-m3,M3,M3,P5,P5,-P8
1008.0,-P4,P5,P5,P8,P8,P1
1044.0,Rest,Rest,Rest,P5,P5,P1
1080.0,M2,P5,M2,P4,P8,P5
1116.0,-P5,P4,-M3,P8,m3,-M6
1152.0,P5,M3,P5,M6,P1,-M6
1188.0,-m3,M6,M6,P8,P8,P1
1224.0,-M3,P8,P8,M3,M3,P1
1260.0,P4,P8,M6,P5,M3,-m3
1296.0,P1,P5,M3,P5,M3,-m3
1332.0,Rest,Rest,Rest,M3,P5,m3
1368.0,M2,P4,M6,m3,P5,M3
1404.0,P4,P8,M6,P5,M3,-m3
1440.0,-m3,M6,M3,P8,P5,P5
1476.0,P1,Rest,M6,Rest,M6,Rest
1512.0,P5,P5,Rest,P8,Rest,Rest
1548.0,P4,P8,P8,P5,P5,P1
1584.0,-m3,Rest,P8,Rest,m3,Rest
1620.0,P5,M3,Rest,M6,Rest,Rest
1656.0,M3,M3,P5,P8,m3,-M6
1692.0,Rest,Rest,M3,Rest,Rest,Rest
1728.0,-P5,M3,Rest,M7,Rest,Rest
1764.0,-m3,P5,M3,m7,P5,-m3
1800.0,-M3,Rest,P8,Rest,M3,Rest
1836.0,-m3,M3,Rest,P5,Rest,Rest
1872.0,-m3,M6,M3,P8,P5,P5
1908.0,-M3,P4,P8,M6,M3,P5
1944.0,-P4,P5,P5,P8,P8,P1
1980.0,A4,M7,A4,P4,P8,P5
2016.0,M3,M3,P5,P8,m3,-M6
2052.0,P4,P8,P8,P5,P5,P1
2088.0,-P4,P5,M3,P8,M6,-m3
2124.0,P4,m7,M2,P4,M6,M3
2160.0,P4,P8,P8,P5,P5,P1
