Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P5,P8,P5,P4,P8,P5
24.0,M6,M2,A4,P4,M6,M3
48.0,M6,M3,M3,P5,P5,P1
72.0,P4,P8,Rest,P5,Rest,Rest
96.0,Rest,Rest,Rest,P8,P4,-P5
120.0,P4,Rest,P8,Rest,P5,Rest
144.0,m7,P5,M2,-m3,M3,P5
168.0,M6,M3,M3,-P4,P5,P8
192.0,P8,P4,Rest,-P5,Rest,Rest
216.0,M6,M6,P8,P1,m3,m3
240.0,P4,P8,P8,P5,P5,P1
264.0,M6,M3,M6,P5,P1,-P5
288.0,M3,M3,M6,P8,P4,-P5
312.0,P4,P8,Rest,P5,Rest,Rest
336.0,P5,M3,P5,-m3,P1,m3
360.0,P1,P4,P8,P4,P8,P5
384.0,P5,P8,P5,P4,P8,P5
408.0,m6,P8,Rest,M3,Rest,Rest
432.0,Rest,Rest,Rest,P5,P5,P1
456.0,P4,Rest,P8,Rest,P5,Rest
480.0,P4,P8,P8,P5,P5,P1
504.0,M3,M6,M3,P4,P8,P5
528.0,-P5,P1,Rest,P5,Rest,Rest
552.0,-P4,P5,P5,P8,P8,P1
576.0,m3,P5,P5,M3,M3,P8
600.0,-M3,P4,P8,M6,M3,P5
624.0,-P5,P4,P8,P8,P5,P5
648.0,P5,M3,Rest,-m3,Rest,Rest
672.0,M6,M6,M3,P1,P5,P5
696.0,P1,P8,M3,P8,M3,M3
720.0,P4,P8,P8,P5,P5,P1
744.0,P4,P8,Rest,P5,Rest,Rest
768.0,Rest,Rest,Rest,M3,M6,-P5
792.0,-P5,Rest,P5,Rest,M2,Rest
816.0,-m3,M2,M6,P4,P8,P5
840.0,-m3,M3,M3,P5,P5,P8
864.0,M2,P5,Rest,-P5,Rest,Rest
888.0,P8,M6,P8,-m3,P1,m3
912.0,m3,P5,P5,M3,M3,P1
936.0,P8,P5,P8,P5,P1,-P5
960.0,m3,P5,P8,M3,M6,-P5
984.0,-P4,P5,Rest,P8,Rest,Rest
1008.0,P1,P1,m3,P1,m3,m3
1032.0,P4,P4,P8,P1,P5,P5
1056.0,P5,P8,P5,P4,P8,P5
1080.0,-P4,P5,Rest,P8,Rest,Rest
1104.0,Rest,Rest,Rest,P8,P8,P1
1128.0,-P5,Rest,P5,Rest,M2,Rest
1152.0,P1,M6,M6,M6,M6,P1
1176.0,-P5,P4,P8,P8,P5,P5
1200.0,P5,P5,Rest,P1,Rest,Rest
1224.0,P4,P8,P8,P5,P5,P1
1248.0,-m3,M3,M3,P5,P5,P8
1272.0,M2,M6,M3,P5,M2,P5
1296.0,P5,P8,P5,P4,P8,P5
