Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
54.0,P4,P8,P5
108.0,P4,P8,P5
162.0,M3,Rest,Rest
216.0,Rest,Rest,Rest
270.0,P4,P8,P5
324.0,P5,P5,P1
378.0,P5,Rest,Rest
432.0,Rest,Rest,m3
486.0,P8,P8,P1
540.0,-P5,P1,P5
594.0,P5,Rest,Rest
648.0,Rest,Rest,Rest
702.0,M3,M3,P8
756.0,P4,P8,P5
810.0,P1,Rest,Rest
864.0,Rest,Rest,P5
918.0,P5,M3,M6
972.0,P4,P8,P5
1026.0,-P5,Rest,Rest
1080.0,Rest,Rest,Rest
1134.0,M6,P8,m3
1188.0,P5,P5,P1
1242.0,-P5,Rest,Rest
1296.0,Rest,Rest,P5
1350.0,P5,P5,P1
1404.0,M6,M3,P5
1458.0,-P5,Rest,Rest
1512.0,Rest,Rest,Rest
1566.0,-P4,M3,M6
1620.0,-M6,P5,M3
1674.0,-P8,Rest,Rest
1728.0,Rest,Rest,M3
1782.0,P4,P8,P5
1836.0,M3,P5,m3
1890.0,-P8,Rest,Rest
1944.0,Rest,Rest,Rest
1998.0,P1,P5,P5
2052.0,P4,P8,P5
