Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P5,Rest,P5,Rest,P8,Rest
24.0,m3,m6,m3,P4,P8,P5
48.0,m3,P5,Rest,M3,Rest,Rest
72.0,M3,P5,P5,m3,m3,P1
96.0,-P4,P5,M3,P8,M6,-m3
120.0,-P4,P5,P5,P8,P8,P1
144.0,-P4,Rest,P5,Rest,P8,Rest
168.0,Rest,M3,P5,Rest,Rest,m3
192.0,-m3,M3,Rest,P5,Rest,Rest
216.0,-P4,P5,P5,P8,P8,P1
240.0,P5,P8,P5,P4,P8,P5
264.0,P4,M6,P8,M3,P5,m3
288.0,M3,Rest,M3,Rest,P8,Rest
312.0,Rest,M3,M3,Rest,Rest,P8
336.0,-P4,M3,Rest,M6,Rest,Rest
360.0,-P4,P5,P5,P8,P8,P1
384.0,P4,M6,P8,M3,P5,m3
408.0,M3,M6,M3,P4,P8,P5
432.0,P4,Rest,P8,Rest,P5,Rest
456.0,Rest,P8,P8,Rest,Rest,P1
480.0,-P5,P8,Rest,P5,Rest,Rest
504.0,-M6,P5,m3,M3,P8,-M3
528.0,P4,P8,M6,P5,M3,-m3
552.0,P4,P8,P8,P5,P5,P1
576.0,P5,Rest,P5,Rest,P8,Rest
600.0,Rest,P8,P5,Rest,Rest,P5
624.0,P4,M2,Rest,-m3,Rest,Rest
648.0,M3,P5,P5,m3,m3,P1
672.0,P4,P8,M6,P5,M3,-m3
696.0,P4,P8,P8,P5,P5,P1
720.0,P4,Rest,P8,Rest,P5,Rest
744.0,Rest,M6,P8,Rest,Rest,m3
768.0,m3,P5,Rest,M3,Rest,Rest
792.0,M6,M3,M3,P5,P5,P1
816.0,P5,P8,P5,P4,P8,P5
840.0,m3,P8,m3,M6,P8,m3
864.0,-P5,Rest,P8,Rest,P5,Rest
888.0,Rest,P5,P5,Rest,Rest,P8
912.0,m3,P5,Rest,M3,Rest,Rest
936.0,-P4,P5,P5,P8,P8,P1
960.0,M6,P8,M3,m3,P5,M3
984.0,P5,P8,P5,P4,P8,P5
1008.0,m3,Rest,P5,Rest,M3,Rest
1032.0,Rest,M3,M3,Rest,Rest,P1
1056.0,P5,P5,Rest,P8,Rest,Rest
1080.0,M6,M3,P8,P5,m3,-M3
1104.0,-P4,P5,M3,P8,M6,-m3
1128.0,-P4,P5,P5,P8,P8,P1
1152.0,Rest,Rest,Rest,Rest,P5,Rest
1176.0,Rest,M6,Rest,Rest,Rest,Rest
1200.0,P1,P8,M6,P8,M6,-m3
1224.0,Rest,Rest,Rest,Rest,m7,Rest
1248.0,Rest,P8,Rest,Rest,Rest,Rest
1272.0,P5,P8,P5,P4,P8,P5
1296.0,Rest,Rest,Rest,Rest,P8,Rest
1320.0,Rest,m3,Rest,Rest,Rest,Rest
1344.0,P1,m3,P5,m3,P5,M3
1368.0,Rest,Rest,Rest,Rest,P5,Rest
1392.0,Rest,P5,P8,Rest,Rest,-P5
1416.0,P4,P8,M6,P5,M3,-m3
1440.0,P4,P8,P8,P5,P5,P1
