Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P5,P8,P5,P4,P8,P5
36.0,m3,P5,Rest,M3,Rest,Rest
72.0,P1,P5,m3,P5,m3,-M3
108.0,-P4,P5,P5,P8,P8,P1
144.0,Rest,Rest,Rest,M6,P8,m3
180.0,-m3,M3,Rest,P5,Rest,Rest
216.0,m3,P5,P8,M3,M6,P4
252.0,P4,M6,P8,M3,P5,m3
288.0,Rest,Rest,Rest,P1,P8,P8
324.0,-P4,M3,Rest,M6,Rest,Rest
360.0,-m3,P4,P5,m6,m7,M2
396.0,M3,M6,M3,P4,P8,P5
432.0,Rest,Rest,Rest,P5,P5,P1
468.0,-P5,P8,Rest,P5,Rest,Rest
504.0,P1,P8,P5,P8,P5,-P4
540.0,P4,P8,P8,P5,P5,P1
576.0,Rest,Rest,Rest,P4,P8,P5
612.0,P4,M2,Rest,-m3,Rest,Rest
648.0,P4,P8,m6,P5,m3,-M3
684.0,P4,P8,P8,P5,P5,P1
720.0,Rest,Rest,Rest,M3,P5,m3
756.0,m3,P5,Rest,M3,Rest,Rest
792.0,P1,P5,P8,P5,P8,P4
828.0,m3,P8,m3,M6,P8,m3
864.0,Rest,Rest,Rest,P5,P5,P8
900.0,m3,P5,Rest,M3,Rest,Rest
936.0,P1,m7,P8,m7,P8,M2
972.0,P5,P8,P5,P4,P8,P5
1008.0,Rest,Rest,Rest,M3,M3,P1
1044.0,P5,P5,Rest,P8,Rest,Rest
1080.0,m3,m3,m7,P8,P5,-P4
1116.0,-P4,P5,P5,P8,P8,P1
1152.0,-m3,M6,Rest,,Rest,Rest
