Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,Rest,Rest,Rest,Rest,P5,Rest
24.0,Rest,M6,Rest,Rest,Rest,Rest
48.0,P1,P8,M6,P8,M6,-m3
72.0,Rest,Rest,Rest,Rest,P5,Rest
96.0,Rest,P8,Rest,Rest,Rest,Rest
120.0,P5,P8,P5,P4,P8,P5
144.0,Rest,Rest,Rest,Rest,P8,Rest
168.0,Rest,m3,Rest,Rest,Rest,Rest
192.0,P1,m3,P5,m3,P5,M3
216.0,Rest,Rest,Rest,Rest,P5,Rest
240.0,Rest,P5,P8,Rest,Rest,-P5
264.0,P4,P8,M6,P5,M3,-m3
288.0,P4,P8,Rest,P5,Rest,Rest
