Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,Rest,Rest,Rest
36.0,Rest,Rest,Rest
72.0,Rest,Rest,Rest
108.0,Rest,Rest,Rest
144.0,P4,P8,P5
180.0,P4,P8,P5
216.0,P4,P8,P5
252.0,m3,P5,M3
288.0,P4,P8,P5
324.0,Rest,Rest,Rest
360.0,Rest,Rest,P5
396.0,m3,P8,M6
432.0,P1,Rest,Rest
468.0,P8,P8,P1
504.0,P1,P5,P5
540.0,P5,P5,P1
576.0,-m3,M3,P5
612.0,P4,P8,P5
648.0,Rest,Rest,Rest
684.0,Rest,Rest,P5
720.0,P4,P8,P5
756.0,P8,Rest,Rest
792.0,P5,P5,P8
828.0,-m3,P8,m3
864.0,P4,P8,P5
900.0,P5,P5,P1
936.0,P4,m3,m7
972.0,Rest,Rest,Rest
1008.0,Rest,Rest,P1
1044.0,P4,P8,P5
1080.0,m6,Rest,Rest
1116.0,P4,P8,P5
1152.0,-P4,P5,P8
1188.0,m3,P8,M6
1224.0,M3,M3,P8
1260.0,P4,P8,P5
1296.0,Rest,Rest,Rest
1332.0,Rest,Rest,P1
1368.0,P4,P8,P5
1404.0,M2,Rest,Rest
1440.0,P4,P8,P5
1476.0,P4,P8,P5
1512.0,P4,P8,P5
1548.0,Rest,Rest,M6
1584.0,P5,Rest,Rest
1620.0,Rest,P8,Rest
1656.0,-m3,M3,P5
1692.0,Rest,Rest,Rest
1728.0,P1,P8,P8
1764.0,Rest,Rest,P5
1800.0,P4,P8,P5
1836.0,P4,P8,P5
1872.0,Rest,Rest,P4
1908.0,P1,Rest,Rest
1944.0,Rest,M3,Rest
1980.0,M6,M3,P5
2016.0,Rest,Rest,Rest
2052.0,P4,P8,P5
2088.0,Rest,Rest,Rest
