Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,Rest,Rest,Rest,Rest,Rest,Rest
24.0,Rest,Rest,Rest,Rest,Rest,Rest
48.0,Rest,Rest,Rest,Rest,Rest,Rest
72.0,Rest,Rest,Rest,Rest,Rest,Rest
96.0,Rest,Rest,Rest,Rest,Rest,Rest
120.0,Rest,Rest,Rest,Rest,Rest,Rest
144.0,P5,Rest,P5,Rest,P8,Rest
168.0,m3,P8,P5,M6,M3,P5
192.0,-P4,P5,Rest,P8,Rest,Rest
216.0,-P4,P5,Rest,P8,Rest,Rest
240.0,P5,Rest,M7,Rest,M3,Rest
264.0,Rest,P8,P4,Rest,Rest,-P5
288.0,Rest,Rest,Rest,P8,P4,-P5
312.0,P4,P8,Rest,P5,Rest,Rest
336.0,P4,M2,Rest,M6,Rest,Rest
360.0,Rest,Rest,Rest,Rest,P5,Rest
384.0,Rest,P5,P5,Rest,Rest,-P8
408.0,-P5,P1,Rest,P5,Rest,Rest
432.0,-P5,P1,Rest,P5,Rest,Rest
456.0,P5,Rest,P5,Rest,P1,Rest
480.0,Rest,P8,P4,Rest,Rest,-P5
504.0,Rest,Rest,Rest,P5,P5,P1
528.0,-P4,P5,Rest,P8,Rest,Rest
552.0,m3,P8,Rest,M6,Rest,Rest
576.0,Rest,Rest,Rest,Rest,P5,Rest
600.0,Rest,P4,P8,Rest,Rest,P5
624.0,-P5,P1,Rest,P5,Rest,Rest
648.0,-P4,P5,Rest,P8,Rest,Rest
672.0,P1,Rest,P5,Rest,P5,Rest
696.0,Rest,P8,P4,Rest,Rest,-P5
720.0,Rest,Rest,Rest,P8,P8,P1
744.0,P5,P5,Rest,P1,Rest,Rest
768.0,P4,P8,Rest,P5,Rest,Rest
792.0,Rest,Rest,Rest,Rest,P8,Rest
816.0,Rest,P4,P8,Rest,Rest,P5
840.0,m3,P5,Rest,M3,Rest,Rest
864.0,P4,P8,Rest,P5,Rest,Rest
888.0,P5,Rest,P5,Rest,P1,Rest
912.0,Rest,P8,P4,Rest,Rest,-P5
936.0,Rest,Rest,Rest,M3,P5,m3
960.0,P5,P8,Rest,P4,Rest,Rest
984.0,-P4,P5,Rest,P8,Rest,Rest
1008.0,Rest,Rest,Rest,Rest,P5,Rest
1032.0,Rest,P8,P8,Rest,Rest,P1
1056.0,m3,P5,Rest,M3,Rest,Rest
1080.0,P4,P8,Rest,P5,Rest,Rest
1104.0,P4,Rest,P8,Rest,P5,Rest
1128.0,Rest,P5,P5,Rest,Rest,P1
1152.0,Rest,Rest,Rest,P4,P8,P5
1176.0,-m3,M6,Rest,P8,Rest,Rest
1200.0,-P4,P5,Rest,P8,Rest,Rest
1224.0,Rest,Rest,Rest,Rest,P8,Rest
1248.0,Rest,M3,Rest,Rest,Rest,Rest
1272.0,Rest,Rest,Rest,Rest,P8,Rest
1296.0,P4,P8,P4,P5,P1,-P5
1320.0,Rest,P5,Rest,Rest,Rest,Rest
1344.0,Rest,M3,M3,Rest,Rest,-P8
1368.0,Rest,Rest,Rest,M3,Rest,Rest
1392.0,Rest,P5,P1,Rest,Rest,-P5
1416.0,Rest,Rest,Rest,M6,Rest,Rest
1440.0,Rest,Rest,Rest,Rest,P8,Rest
1464.0,Rest,P1,Rest,Rest,Rest,Rest
1488.0,Rest,Rest,Rest,Rest,m6,Rest
1512.0,-P4,P5,P5,P8,P8,P1
1536.0,Rest,P5,Rest,Rest,Rest,Rest
1560.0,Rest,M6,M3,Rest,Rest,P5
1584.0,Rest,Rest,Rest,P5,Rest,Rest
1608.0,Rest,P8,P4,Rest,Rest,-P5
1632.0,Rest,Rest,Rest,P8,Rest,Rest
1656.0,Rest,Rest,Rest,Rest,P8,Rest
1680.0,Rest,P8,Rest,Rest,Rest,Rest
1704.0,Rest,Rest,Rest,Rest,P8,Rest
1728.0,P5,P8,P5,P4,P8,P5
1752.0,Rest,Rest,Rest,Rest,Rest,Rest
