Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P8,P8,P1
36.0,P8,P1,-P8
72.0,P1,P1,P1
108.0,P8,P1,-P8
144.0,P8,P4,-P5
180.0,P8,Rest,Rest
216.0,P5,M3,-m3
252.0,m7,P5,-m3
288.0,P8,P1,-P8
324.0,P8,M6,-m3
360.0,M3,M6,-P5
396.0,m3,P5,M3
432.0,P4,P8,P5
468.0,M6,Rest,Rest
504.0,M6,P8,m3
540.0,P5,P5,-P8
576.0,P5,P5,P1
612.0,P5,P1,-P5
648.0,m3,m3,P1
684.0,P5,P1,-P5
720.0,P8,P4,-P5
756.0,P5,Rest,Rest
792.0,P8,P4,-P5
828.0,M6,P4,-M3
864.0,P8,P4,-P5
900.0,P8,P4,-P5
936.0,P5,P5,-P8
972.0,P5,P5,P1
1008.0,P1,P5,P5
1044.0,M3,Rest,Rest
1080.0,P1,P5,P5
1116.0,P5,P1,-P5
1152.0,P5,P5,P1
1188.0,P8,P1,-P8
1224.0,P5,P5,-P8
1260.0,P8,P1,-P8
1296.0,P5,P5,-P8
1332.0,P5,Rest,Rest
1368.0,P8,P4,-P5
1404.0,m6,P4,-m3
1440.0,P8,P1,-P8
1476.0,P5,m3,-M3
1512.0,m3,m3,P1
1548.0,M2,m7,-M3
1584.0,P1,P5,P5
1620.0,M3,Rest,Rest
1656.0,P8,m3,m3
1692.0,M6,M2,-P5
1728.0,P8,P4,-P5
