Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
8.0,P4,P4,P1
16.0,P4,P4,P1
24.0,M3,P5,m3
32.0,M3,P5,m3
40.0,P1,P5,P5
48.0,P1,m3,m3
56.0,P5,P5,P1
64.0,m3,P5,M3
72.0,P1,P5,P5
80.0,P1,P5,P5
88.0,Rest,Rest,P8
96.0,-P4,P5,P8
104.0,-P4,P5,P8
112.0,Rest,P5,Rest
120.0,P1,P8,P8
128.0,-P4,P5,P8
136.0,-P4,P5,P8
144.0,P4,P8,P5
152.0,P4,Rest,Rest
160.0,P1,Rest,Rest
168.0,P1,P8,P8
176.0,-M3,m3,P5
184.0,-M2,P4,P5
192.0,-P5,P1,P5
200.0,-P4,P1,P4
208.0,Rest,Rest,P5
216.0,P1,m3,m3
224.0,P5,P5,P1
232.0,m3,P5,M3
240.0,P1,P5,P5
248.0,P1,P5,P5
256.0,Rest,P8,Rest
264.0,P4,P8,P5
272.0,P4,P8,P5
280.0,P5,P8,P4
288.0,P1,P8,P8
296.0,P4,P8,P5
304.0,P4,P8,P5
312.0,P4,P8,P5
320.0,P4,Rest,Rest
328.0,P1,Rest,Rest
336.0,-P4,P5,P8
344.0,P1,m3,m3
352.0,P1,P4,P4
360.0,P5,P5,P1
368.0,P5,P5,P1
376.0,Rest,P5,Rest
384.0,P1,P1,P1
392.0,P1,P1,P1
400.0,Rest,Rest,m3
408.0,-P5,P1,P5
416.0,-P5,P1,P5
424.0,-M3,m3,P5
432.0,-m3,P1,m3
440.0,-M2,m3,P4
448.0,P1,P5,P5
456.0,M3,P5,m3
464.0,M3,Rest,Rest
472.0,M3,Rest,Rest
480.0,P1,P8,P8
488.0,P1,m3,m3
496.0,-m3,M2,P4
504.0,-P5,P1,P5
512.0,-P5,P1,P5
520.0,Rest,Rest,P5
528.0,-P5,-P5,P1
536.0,-P5,-P5,P1
544.0,Rest,-M3,Rest
552.0,-P5,P1,P5
560.0,-P5,P1,P5
568.0,-P5,P1,P5
576.0,-m3,P1,m3
584.0,-M3,m3,P5
592.0,P1,P5,P5
600.0,-M3,m3,P5
608.0,-M3,Rest,Rest
616.0,-m3,Rest,Rest
624.0,P1,P8,P8
632.0,P1,m3,m3
640.0,-m3,M2,P4
648.0,-P5,P1,P5
656.0,-P5,P1,P5
664.0,Rest,M3,Rest
672.0,m3,m3,P1
680.0,P5,P5,P1
688.0,m3,P5,M3
696.0,P1,P5,P5
704.0,P1,P5,P5
712.0,-P4,P5,P8
720.0,-P4,P5,P8
728.0,-P4,P5,P8
736.0,Rest,Rest,m7
744.0,P1,P8,P8
752.0,-P4,P5,P8
760.0,-P4,P5,P8
768.0,P4,P8,P5
776.0,P4,Rest,Rest
784.0,Rest,Rest,Rest
792.0,P4,P8,P5
800.0,P5,M2,P5
808.0,P4,P4,P1
816.0,P1,m3,m3
824.0,-P5,P1,P5
832.0,-m3,M3,P5
840.0,P1,m3,m3
848.0,P5,P5,P1
856.0,m3,P5,M3
864.0,P1,P5,P5
872.0,P1,P5,P5
880.0,-m3,M6,P8
888.0,-P5,P4,P8
896.0,-P5,P4,P8
904.0,-m3,P5,m7
912.0,P1,P8,P8
920.0,m3,P8,M6
928.0,P4,M7,A4
936.0,P4,P8,P5
