Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
8.0,-m3,M6,P8
16.0,-P5,P4,P8
24.0,Rest,P5,Rest
32.0,Rest,P5,Rest
40.0,Rest,M6,Rest
48.0,P1,P5,P5
56.0,P1,P5,P5
64.0,Rest,Rest,P5
72.0,P1,Rest,Rest
80.0,m3,Rest,Rest
88.0,M3,Rest,Rest
96.0,P1,P5,P5
104.0,P4,P8,P5
112.0,P4,P8,P5
120.0,Rest,P8,Rest
128.0,Rest,P5,Rest
136.0,Rest,M6,Rest
144.0,P1,P5,P5
152.0,P1,P5,P5
160.0,Rest,Rest,P5
168.0,-m3,Rest,Rest
176.0,-P5,Rest,Rest
184.0,-m3,Rest,Rest
192.0,P1,P5,P5
200.0,-M3,m3,P5
208.0,-M3,m3,P5
216.0,Rest,P5,Rest
224.0,Rest,P5,Rest
232.0,Rest,m6,Rest
240.0,P4,P8,P5
248.0,P4,P8,P5
256.0,Rest,Rest,P5
264.0,P5,Rest,Rest
272.0,m3,Rest,Rest
280.0,P4,Rest,Rest
288.0,P4,P8,P5
296.0,P1,P5,P5
304.0,m2,m6,P5
312.0,P4,P8,P5
320.0,P5,P8,P4
328.0,M6,P8,m3
336.0,P4,P8,P5
344.0,P4,P8,P5
352.0,Rest,Rest,P5
360.0,Rest,Rest,Rest
368.0,Rest,Rest,Rest
376.0,Rest,Rest,Rest
384.0,-P4,P5,P8
392.0,-P5,P4,P8
400.0,-P4,P5,P8
408.0,P1,P5,P5
416.0,P1,M6,M6
424.0,-M2,P5,M6
432.0,-P4,P5,P8
440.0,-P4,P5,P8
448.0,Rest,Rest,P8
456.0,P1,Rest,Rest
464.0,m3,Rest,Rest
472.0,P5,Rest,Rest
480.0,P4,P8,P5
488.0,P4,P8,P5
496.0,P5,M2,P5
504.0,m3,Rest,Rest
512.0,m3,Rest,Rest
520.0,Rest,Rest,Rest
528.0,P1,P5,P5
536.0,P1,P5,P5
544.0,P4,P8,P5
552.0,P4,M7,A4
560.0,m3,P5,M3
568.0,m3,P5,M3
576.0,P4,P8,P5
584.0,P4,P8,P5
592.0,Rest,Rest,P5
600.0,Rest,Rest,Rest
608.0,Rest,Rest,Rest
616.0,Rest,Rest,Rest
624.0,P4,P8,P5
632.0,P4,P8,P5
640.0,P5,M2,P5
648.0,P5,Rest,Rest
656.0,m3,Rest,Rest
664.0,P4,Rest,Rest
672.0,P4,P8,P5
680.0,P4,P8,P5
688.0,Rest,Rest,P5
696.0,P1,P5,P5
704.0,-P4,M3,M6
712.0,-P4,M3,M6
720.0,-P4,P5,P8
728.0,-P4,P5,P8
736.0,P1,P8,P8
744.0,m3,Rest,Rest
752.0,M3,Rest,Rest
760.0,M3,Rest,Rest
768.0,P1,P8,P8
776.0,-M2,m7,P8
784.0,-P4,P5,P8
792.0,Rest,Rest,Rest
800.0,Rest,Rest,Rest
808.0,Rest,Rest,Rest
816.0,P4,P8,P5
824.0,P1,P5,P5
832.0,m3,m6,P4
840.0,P4,P8,P5
848.0,P4,P8,P5
856.0,Rest,Rest,m3
864.0,P4,P8,P5
872.0,P4,P8,P5
880.0,m3,m7,P5
888.0,A4,Rest,Rest
896.0,A4,Rest,Rest
904.0,M3,Rest,Rest
912.0,P1,P5,P5
920.0,P4,P8,P5
928.0,P4,P8,P5
936.0,Rest,Rest,Rest
944.0,Rest,Rest,Rest
952.0,Rest,Rest,Rest
960.0,P4,P8,P5
968.0,P4,P8,P5
976.0,Rest,Rest,P5
984.0,P5,P8,P4
992.0,P5,P8,P4
1000.0,M2,P5,P4
1008.0,-P4,P5,P8
1016.0,-P4,P5,P8
1024.0,P1,M6,M6
1032.0,-M3,Rest,Rest
1040.0,-M3,Rest,Rest
1048.0,Rest,Rest,Rest
1056.0,-P4,P5,P8
1064.0,-P4,P5,P8
1072.0,-P5,P4,P8
1080.0,P1,Rest,Rest
1088.0,P5,Rest,Rest
1096.0,m3,Rest,Rest
1104.0,P1,P5,P5
1112.0,P1,P5,P5
1120.0,Rest,Rest,P5
1128.0,Rest,P8,Rest
1136.0,Rest,P8,Rest
1144.0,Rest,M6,Rest
1152.0,P4,P8,P5
1160.0,P4,P8,P5
1168.0,P1,M6,M6
1176.0,-M3,Rest,Rest
1184.0,-M3,Rest,Rest
1192.0,Rest,Rest,Rest
1200.0,P4,P8,P5
1208.0,M3,M7,P5
1216.0,P1,P5,P5
1224.0,P1,Rest,Rest
1232.0,m3,Rest,Rest
1240.0,P5,Rest,Rest
1248.0,P4,P8,P5
1256.0,P4,P8,P5
1264.0,P4,P8,P5
1272.0,Rest,P8,Rest
1280.0,Rest,P8,Rest
1288.0,Rest,Rest,Rest
1296.0,P4,P8,P5
1304.0,P4,P8,P5
1312.0,m3,m7,P5
1320.0,P5,Rest,Rest
1328.0,P5,Rest,Rest
1336.0,m3,Rest,Rest
1344.0,-P4,P5,P8
1352.0,-P4,P5,P8
1360.0,M2,P8,m7
1368.0,P5,Rest,Rest
1376.0,P4,Rest,Rest
1384.0,P5,Rest,Rest
1392.0,P8,P5,P5
1400.0,P8,P5,P5
1408.0,P8,P5,P5
1416.0,P4,P8,P5
1424.0,P5,P8,P4
1432.0,M6,P8,m3
1440.0,P4,P8,P5
