Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
24.0,P1,P5,P5
48.0,P4,P8,P5
72.0,P1,Rest,Rest
96.0,P5,P5,P1
120.0,Rest,P5,Rest
144.0,P1,P5,P5
168.0,-M3,Rest,Rest
192.0,-P4,P5,P8
216.0,P1,P5,P5
240.0,P4,P8,P5
264.0,P1,Rest,Rest
288.0,P4,P8,P5
312.0,Rest,P8,Rest
336.0,P1,P8,P8
360.0,P1,Rest,Rest
384.0,-P4,P5,P8
408.0,P1,P5,P5
432.0,P4,P8,P5
456.0,m3,Rest,Rest
480.0,P8,P8,P1
504.0,Rest,P8,Rest
528.0,P4,P8,P5
552.0,P1,Rest,Rest
576.0,P4,P8,P5
600.0,P4,P8,P5
624.0,P8,P8,P1
648.0,P1,Rest,Rest
672.0,-P4,P5,P8
696.0,-P4,P5,P8
720.0,-P5,P1,P5
744.0,P1,Rest,Rest
768.0,P5,P5,P1
792.0,P4,P8,P5
816.0,P1,P8,P8
840.0,-P5,Rest,Rest
864.0,P4,P8,P5
888.0,Rest,P8,Rest
912.0,P1,P8,P8
936.0,-m3,Rest,Rest
960.0,P4,P8,P5
984.0,P4,P8,P5
1008.0,-P4,P5,P8
1032.0,P1,Rest,Rest
1056.0,P4,P8,P5
1080.0,Rest,P8,Rest
1104.0,P4,P8,P5
1128.0,P1,Rest,Rest
1152.0,P4,P8,P5
1176.0,-P4,P5,P8
1200.0,P1,P5,P5
1224.0,-M2,Rest,Rest
1248.0,P4,P8,P5
1272.0,P5,P5,P1
1296.0,P8,P8,P1
1320.0,P5,Rest,Rest
1344.0,P4,P8,P5
1368.0,m3,P5,M3
1392.0,P5,P5,P1
1416.0,Rest,Rest,Rest
1440.0,P4,P8,P5
1464.0,-P4,P5,P8
1488.0,P1,P5,P5
1512.0,P5,Rest,Rest
1536.0,P1,P5,P5
1560.0,-P4,P5,P8
1584.0,P1,P5,P5
1608.0,P4,Rest,Rest
1632.0,P4,P8,P5
1656.0,P5,P5,P8
1680.0,P4,P8,P5
1704.0,P5,Rest,Rest
1728.0,P8,P5,P5
1752.0,Rest,P5,Rest
1776.0,P8,P8,P1
1800.0,m3,Rest,Rest
1824.0,P4,P8,P5
1848.0,P8,P8,P1
1872.0,P4,P8,P5
