Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
24.0,-P4,P5,P8
48.0,P4,P8,P5
72.0,-M3,P5,M7
96.0,P4,P8,P5
120.0,P4,P8,P5
144.0,P1,P8,P8
168.0,Rest,P8,Rest
192.0,Rest,P5,Rest
216.0,-P4,P5,P8
240.0,Rest,P8,Rest
264.0,P1,Rest,Rest
288.0,P4,P8,P5
312.0,P4,P8,P5
336.0,P4,P8,P5
360.0,m3,Rest,Rest
384.0,Rest,Rest,P8
408.0,Rest,P8,Rest
432.0,P4,P8,P5
456.0,Rest,P8,Rest
480.0,P4,P8,P5
504.0,P5,P8,P4
528.0,P4,P8,P5
552.0,m3,P8,M6
576.0,P4,P8,P5
600.0,-P4,P5,P8
624.0,-m3,M6,P8
648.0,-P5,Rest,Rest
672.0,Rest,P8,Rest
696.0,P1,P8,P8
720.0,P1,P8,P8
744.0,m3,Rest,Rest
768.0,P1,P8,P8
792.0,Rest,Rest,P8
816.0,P4,P8,P5
840.0,Rest,P8,Rest
864.0,P4,P8,P5
888.0,P5,P8,P4
912.0,Rest,Rest,P8
936.0,Rest,Rest,P8
960.0,P5,P8,P4
984.0,P8,P5,P5
1008.0,Rest,M6,Rest
1032.0,-P5,Rest,Rest
1056.0,P4,P8,P5
1080.0,P4,M2,M6
1104.0,P5,P5,P8
