Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
8.0,P4,P8,P5
16.0,m6,m3,P5
24.0,P8,M3,M3
32.0,P5,P5,P1
40.0,M6,P8,m3
48.0,P4,M6,M3
56.0,P4,M6,M3
64.0,Rest,Rest,-m3
72.0,Rest,Rest,-M3
80.0,P5,P5,P1
88.0,P8,P8,P1
96.0,P5,Rest,Rest
104.0,M3,Rest,Rest
112.0,P5,Rest,Rest
120.0,P1,Rest,Rest
128.0,-M3,m3,P5
136.0,Rest,Rest,P5
144.0,P5,P5,P1
152.0,P5,P5,P1
160.0,Rest,P5,Rest
168.0,Rest,m7,Rest
176.0,P8,P4,-P5
184.0,P8,P4,-P5
192.0,P5,m3,-M3
200.0,m7,m3,-P5
208.0,P8,M6,-m3
216.0,P5,P5,P1
224.0,P1,P5,P5
232.0,M3,M6,P4
240.0,P4,P8,P5
248.0,P1,P5,P5
256.0,m3,P5,M3
264.0,m3,P5,M3
272.0,m3,Rest,Rest
280.0,P8,Rest,Rest
288.0,P5,Rest,Rest
296.0,M3,Rest,Rest
304.0,P4,P8,P5
312.0,m6,m3,P5
320.0,Rest,M3,Rest
328.0,Rest,P8,Rest
336.0,P4,P8,P5
344.0,M6,P8,m3
352.0,Rest,Rest,P5
360.0,Rest,Rest,P5
368.0,P8,M3,M3
376.0,M6,P8,m3
384.0,P8,M6,-m3
392.0,P8,M6,-m3
400.0,P8,Rest,Rest
408.0,M6,Rest,Rest
416.0,P8,Rest,Rest
424.0,P5,Rest,Rest
432.0,P8,M6,-m3
440.0,m3,M7,-d4
448.0,P5,P5,P1
456.0,m3,m3,P1
464.0,Rest,P8,Rest
472.0,Rest,P5,Rest
480.0,-P4,P5,P8
488.0,-P4,P5,P8
496.0,Rest,Rest,m3
504.0,Rest,Rest,M2
512.0,-A4,m3,M6
520.0,-A4,m3,M6
528.0,-M3,m6,P8
536.0,P4,P8,P5
544.0,P5,P5,P1
552.0,M6,A4,-m3
560.0,P8,P4,-P5
568.0,P8,P4,-P5
576.0,P5,Rest,Rest
584.0,P1,Rest,Rest
592.0,P5,Rest,Rest
600.0,m7,Rest,Rest
608.0,P8,M6,-m3
616.0,P8,M6,-m3
624.0,P8,M6,-m3
632.0,P4,m6,m3
640.0,P4,P8,P5
648.0,P5,M2,P5
656.0,Rest,P5,Rest
664.0,Rest,P5,Rest
672.0,P4,P8,P5
680.0,P4,P8,P5
688.0,M6,Rest,Rest
696.0,m7,Rest,Rest
704.0,M3,Rest,Rest
712.0,P5,Rest,Rest
720.0,P5,P5,P1
728.0,P5,P5,P1
736.0,Rest,Rest,P5
744.0,Rest,Rest,P8
752.0,P4,P8,P5
760.0,m3,m7,P5
768.0,M3,M3,P1
776.0,M3,M3,P1
784.0,Rest,P5,Rest
792.0,Rest,P5,Rest
800.0,P1,P5,P5
808.0,-M3,m3,P5
816.0,P5,Rest,Rest
824.0,P5,Rest,Rest
832.0,P5,Rest,Rest
840.0,M3,Rest,Rest
848.0,M6,P8,m3
856.0,M6,P8,m3
864.0,Rest,P5,Rest
872.0,Rest,P5,Rest
880.0,-P5,P1,P5
888.0,P1,M6,M6
896.0,P5,P5,P1
904.0,M7,P5,-M3
912.0,P5,m3,-M3
920.0,m7,m3,-P5
928.0,P8,P4,-P5
936.0,P8,P4,-P5
944.0,Rest,P5,Rest
952.0,Rest,P5,Rest
960.0,m3,P5,M3
968.0,m3,P5,M3
976.0,M3,P5,m3
984.0,M3,P5,m3
992.0,m3,Rest,Rest
1000.0,P8,Rest,Rest
1008.0,P1,Rest,Rest
1016.0,M6,Rest,Rest
1024.0,P4,P8,P5
1032.0,P4,P8,P5
1040.0,Rest,P5,Rest
1048.0,Rest,P8,Rest
1056.0,-P4,P5,P8
1064.0,-P4,P5,P8
1072.0,Rest,Rest,P5
1080.0,Rest,Rest,m3
1088.0,P8,P5,P5
1096.0,P4,P8,P5
1104.0,P8,P8,P1
1112.0,M3,P8,-M3
1120.0,m3,Rest,Rest
1128.0,P8,Rest,Rest
1136.0,P8,Rest,Rest
1144.0,P8,Rest,Rest
1152.0,P5,P5,P1
1160.0,P5,P5,P1
1168.0,Rest,P8,Rest
1176.0,Rest,P8,Rest
1184.0,-P4,P5,P8
1192.0,M3,P8,m6
1200.0,P4,P8,P5
1208.0,m3,P8,M6
1216.0,-P4,P5,P8
1224.0,P1,m7,m7
1232.0,M6,P8,m3
1240.0,M6,P8,m3
1248.0,Rest,Rest,P5
1256.0,Rest,Rest,m7
1264.0,P1,P5,P5
1272.0,P1,M6,M6
1280.0,m3,P5,M3
1288.0,m3,P5,M3
1296.0,P1,Rest,Rest
1304.0,-m3,Rest,Rest
1312.0,P1,Rest,Rest
1320.0,m3,Rest,Rest
1328.0,P1,P5,P5
1336.0,-m3,M3,P5
1344.0,Rest,P5,Rest
1352.0,Rest,P5,Rest
1360.0,P1,P5,P5
1368.0,P4,P8,P5
1376.0,M3,M3,P8
1384.0,m6,P5,M7
1392.0,P4,P8,P5
1400.0,P4,P8,P5
1408.0,M6,Rest,Rest
1416.0,P5,Rest,Rest
1424.0,P5,Rest,Rest
1432.0,P8,Rest,Rest
1440.0,P4,M6,M3
1448.0,-P4,M3,M6
1456.0,-P4,P5,P8
