Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
8.0,P4,P8,P5
16.0,P5,m7,m3
24.0,P1,P5,P5
32.0,P1,P5,P5
40.0,-P4,M3,M6
48.0,-P4,P5,P8
56.0,-P4,P5,P8
64.0,P4,M2,M6
72.0,P4,P8,P5
80.0,m3,P8,M6
88.0,P1,P8,P8
96.0,P4,P8,P5
104.0,P4,P8,P5
112.0,P4,P8,P5
120.0,P4,P8,P5
128.0,P1,M6,M6
136.0,-P4,P5,P8
144.0,-P4,M3,M6
152.0,-P4,M3,M6
160.0,-M2,P5,M6
168.0,-P4,P5,P8
176.0,-P4,P5,P8
184.0,Rest,Rest,Rest
192.0,-P4,P5,P8
200.0,-P4,P5,P8
208.0,-m3,P5,m7
216.0,-P4,M3,M6
224.0,-P4,M3,M6
232.0,-P4,M3,M6
240.0,-P4,P5,P8
248.0,-M2,M6,M7
256.0,m3,P8,M6
264.0,P5,P5,P1
272.0,P4,P4,P1
280.0,m3,m3,P1
288.0,m3,P5,M3
296.0,m3,P5,M3
304.0,m3,P5,M3
312.0,-m3,M3,P5
320.0,-m3,M3,P5
328.0,m3,P5,M3
336.0,P4,P8,P5
344.0,P4,P8,P5
352.0,-P4,P5,P8
360.0,-m3,M3,P5
368.0,-m3,M3,P5
376.0,P1,P5,P5
384.0,-P4,P5,P8
392.0,-P4,P5,P8
400.0,-P4,P5,P8
408.0,P4,P8,P5
416.0,P4,P8,P5
424.0,Rest,P5,Rest
432.0,P4,P8,P5
440.0,m6,P8,M3
448.0,m6,P8,M3
456.0,P4,P8,P5
464.0,Rest,Rest,P5
472.0,Rest,Rest,m3
480.0,P8,P8,P1
488.0,P4,P8,P5
496.0,P4,P8,P5
504.0,P4,M6,M3
512.0,P4,M6,M3
520.0,P4,M6,M3
528.0,P4,P8,P5
536.0,P4,P8,P5
544.0,P1,M6,M6
552.0,P1,P5,P5
560.0,-M2,P5,M6
568.0,P1,P8,P8
576.0,P4,P8,P5
584.0,P4,P8,P5
592.0,M3,M7,P5
600.0,P4,M6,M3
608.0,P1,P5,P5
616.0,P1,P5,P5
624.0,P4,M6,M3
632.0,P4,M6,M3
640.0,P4,M6,M3
648.0,Rest,Rest,P5
656.0,Rest,Rest,P5
664.0,Rest,Rest,M3
672.0,P4,P8,P5
680.0,P4,P8,P5
688.0,P4,P8,P5
696.0,P5,M3,M6
704.0,P5,M3,M6
712.0,P5,M3,M6
720.0,P5,P5,P8
728.0,P5,P5,P8
736.0,Rest,P5,Rest
744.0,P4,P8,P5
752.0,P1,P5,P5
760.0,P1,P5,P5
768.0,-P4,P5,P8
776.0,Rest,Rest,P8
784.0,Rest,Rest,P8
792.0,-P4,P5,P8
800.0,-P4,P5,P8
808.0,-P4,P5,P8
816.0,-P4,P5,P8
824.0,-m6,M3,P8
832.0,-P4,P5,P8
840.0,-P4,M3,M6
848.0,-m3,M3,P5
856.0,M2,P5,P4
864.0,P4,P8,P5
872.0,P4,P8,P5
880.0,Rest,P8,Rest
888.0,P4,P8,P5
896.0,P4,P8,P5
904.0,m6,P8,M3
912.0,d5,m2,P5
920.0,m3,P8,M6
928.0,m3,P8,M6
936.0,Rest,Rest,P8
944.0,P1,P8,P8
952.0,-m3,M6,P8
960.0,-P4,P5,P8
968.0,-P5,P5,M2
976.0,-m6,P5,m3
984.0,-P5,P8,P5
992.0,Rest,Rest,m3
1000.0,Rest,Rest,m3
1008.0,-P5,P8,P5
1016.0,-P4,P8,P4
1024.0,-M6,P5,M3
1032.0,-P4,P5,P8
1040.0,-P4,P5,P8
1048.0,-m3,M6,P8
1056.0,P1,P5,P5
1064.0,-m3,M3,P5
1072.0,P1,P5,P5
1080.0,-m3,M6,P8
1088.0,P4,P8,P5
1096.0,P1,P5,P5
1104.0,-P4,M3,M6
1112.0,-P4,M3,M6
1120.0,Rest,P5,Rest
1128.0,-P4,P5,P8
1136.0,-P4,P5,P8
1144.0,-m6,M3,P8
1152.0,-P4,P5,P8
1160.0,P1,P8,P8
1168.0,P1,P8,P8
1176.0,-P5,M6,M3
1184.0,-P5,M6,M3
1192.0,-P5,M6,M3
1200.0,-P5,P8,P5
1208.0,Rest,Rest,P5
1216.0,Rest,Rest,P5
1224.0,-P4,P5,P8
1232.0,-m3,P5,m7
1240.0,-m2,P5,m6
1248.0,-P4,P5,P8
1256.0,-P4,P5,P8
1264.0,Rest,M6,Rest
1272.0,P4,P8,P5
1280.0,P4,P8,P5
1288.0,P4,M2,M6
1296.0,P1,P8,P8
1304.0,P1,P8,P8
1312.0,-P4,P5,P8
1320.0,-P4,M3,M6
1328.0,-P4,M3,M6
1336.0,-M2,P5,M6
1344.0,-P4,P5,P8
1352.0,-P4,P5,P8
1360.0,-P5,P5,M2
1368.0,P1,M6,M6
1376.0,-P4,A4,M7
1384.0,P1,M6,M6
1392.0,m3,P8,M6
1400.0,P4,M2,M6
1408.0,P5,M3,M6
1416.0,P5,P5,P8
